Timestamp (UTC)	Timestamp (ms)	HR	RR	Body temperature	Battery
2016-11-09 19:33:36.093	1478720016093	120.0	294.0	35.76923	84.0
2016-11-09 19:33:37.064	1478720017064	133.0	500.0	35.76923	84.0
2016-11-09 19:33:38.07	1478720018070	133.0	246.0	35.76923	84.0
2016-11-09 19:33:39.08	1478720019080	161.0	296.0	35.76923	84.0
2016-11-09 19:33:40.061	1478720020061	161.0	548.0	35.76923	84.0
2016-11-09 19:33:41.074	1478720021074	157.0	404.0	35.76923	84.0
2016-11-09 19:33:42.058	1478720022058	157.0	418.0	35.76923	84.0
2016-11-09 19:33:43.06	1478720023060	179.0	420.0	35.76923	84.0
2016-11-09 19:33:44.093	1478720024093	179.0	258.0	35.76923	84.0
2016-11-09 19:33:45.082	1478720025082	147.0	458.0	35.76923	84.0
2016-11-09 19:33:46.09	1478720026090	147.0	266.0	35.76923	84.0
2016-11-09 19:33:47.083	1478720027083	185.0	500.0	35.76923	84.0
2016-11-09 19:33:48.112	1478720028112	185.0	454.0	35.76923	84.0
2016-11-09 19:33:49.085	1478720029085	125.0	520.0	35.76923	84.0
2016-11-09 19:33:50.112	1478720030112	125.0	514.0	35.76923	83.0
2016-11-09 19:33:51.081	1478720031081	116.0	422.0	35.76923	83.0
2016-11-09 19:33:52.106	1478720032106	116.0	520.0	35.76923	83.0
2016-11-09 19:33:53.112	1478720033112	118.0	520.0	35.76923	83.0
2016-11-09 19:33:54.092	1478720034092	118.0	538.0	35.76923	83.0
2016-11-09 19:33:55.087	1478720035087	117.0	510.0	35.76923	83.0
2016-11-09 19:33:56.11	1478720036110	117.0	536.0	35.76923	83.0
2016-11-09 19:33:57.116	1478720037116	119.0	528.0	35.76923	83.0
2016-11-09 19:33:58.111	1478720038111	119.0	512.0	35.76923	83.0
2016-11-09 19:33:59.1	1478720039100	127.0	266.0	35.76923	83.0
2016-11-09 19:34:00.12	1478720040120	127.0	364.0	35.76923	83.0
2016-11-09 19:34:01.113	1478720041113	160.0	516.0	35.76923	83.0
2016-11-09 19:34:02.112	1478720042112	160.0	508.0	35.76923	83.0
2016-11-09 19:34:03.118	1478720043118	130.0	508.0	35.76923	83.0
2016-11-09 19:34:04.128	1478720044128	130.0	514.0	35.76923	83.0
2016-11-09 19:34:05.135	1478720045135	135.0	280.0	35.76923	83.0
2016-11-09 19:34:06.111	1478720046111	135.0	474.0	35.76923	83.0
2016-11-09 19:34:07.143	1478720047143	162.0	244.0	35.76923	83.0
2016-11-09 19:34:08.134	1478720048134	162.0	505.0	35.76923	83.0
2016-11-09 19:34:09.121	1478720049121	166.0	366.0	35.76923	83.0
2016-11-09 19:34:10.122	1478720050122	166.0	496.0	35.76923	83.0
2016-11-09 19:34:11.139	1478720051139	123.0	532.0	35.76923	83.0
2016-11-09 19:34:12.145	1478720052145	123.0	505.0	35.76923	83.0
2016-11-09 19:34:13.145	1478720053145	119.0	512.0	35.76923	83.0
2016-11-09 19:34:14.131	1478720054131	119.0	736.0	35.76923	83.0
2016-11-09 19:34:15.158	1478720055158	132.0	454.0	35.76923	83.0
2016-11-09 19:34:16.149	1478720056149	132.0	562.0	35.76923	83.0
2016-11-09 19:34:17.147	1478720057147	128.0	552.0	35.76923	83.0
2016-11-09 19:34:18.167	1478720058167	128.0	256.0	35.76923	83.0
2016-11-09 19:34:19.158	1478720059158	156.0	480.0	35.76923	83.0
2016-11-09 19:34:20.151	1478720060151	156.0	444.0	35.76923	83.0
2016-11-09 19:34:21.149	1478720061149	148.0	352.0	35.76923	83.0
2016-11-09 19:34:22.17	1478720062170	148.0	354.0	35.76923	83.0
2016-11-09 19:34:23.152	1478720063152	164.0	474.0	35.76923	83.0
2016-11-09 19:34:24.156	1478720064156	164.0	344.0	35.76923	83.0
2016-11-09 19:34:25.151	1478720065151	171.0	410.0	35.76923	83.0
2016-11-09 19:34:26.155	1478720066155	171.0	524.0	35.76923	83.0
2016-11-09 19:34:27.15	1478720067150	135.0	326.0	35.76923	83.0
2016-11-09 19:34:28.162	1478720068162	135.0	1246.0	35.76923	83.0
2016-11-09 19:34:29.161	1478720069161	130.0	470.0	35.76923	83.0
2016-11-09 19:34:30.184	1478720070184	130.0	590.0	35.76923	83.0
2016-11-09 19:34:31.167	1478720071167	133.0	412.0	35.76923	83.0
2016-11-09 19:34:32.165	1478720072165	133.0	882.0	35.76923	83.0
2016-11-09 19:34:33.181	1478720073181	131.0	598.0	35.641026	83.0
2016-11-09 19:34:34.186	1478720074186	131.0	458.0	35.641026	83.0
2016-11-09 19:34:35.171	1478720075171	110.0	478.0	35.641026	83.0
2016-11-09 19:34:36.194	1478720076194	110.0	942.0	35.641026	83.0
2016-11-09 19:34:37.218	1478720077218	112.0	244.0	35.641026	83.0
2016-11-09 19:34:38.18	1478720078180	112.0	462.0	35.641026	83.0
2016-11-09 19:34:39.181	1478720079181	147.0	470.0	35.641026	83.0
2016-11-09 19:34:40.195	1478720080195	147.0	474.0	35.641026	83.0
2016-11-09 19:34:41.207	1478720081207	123.0	564.0	35.641026	83.0
2016-11-09 19:34:42.208	1478720082208	123.0	518.0	35.641026	83.0
2016-11-09 19:34:43.219	1478720083219	128.0	498.0	35.641026	83.0
2016-11-09 19:34:44.22	1478720084220	128.0	260.0	35.641026	83.0
2016-11-09 19:34:45.212	1478720085212	141.0	558.0	35.641026	83.0
2016-11-09 19:34:46.201	1478720086201	141.0	480.0	35.641026	83.0
2016-11-09 19:34:47.211	1478720087211	114.0	272.0	35.641026	83.0
2016-11-09 19:34:48.211	1478720088211	114.0	452.0	35.641026	83.0
2016-11-09 19:34:49.21	1478720089210	143.0	510.0	35.641026	83.0
2016-11-09 19:34:50.231	1478720090231	143.0	278.0	35.641026	83.0
2016-11-09 19:34:51.213	1478720091213	146.0	414.0	35.641026	83.0
2016-11-09 19:34:52.239	1478720092239	146.0	422.0	35.641026	83.0
